Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
bfd66698-4139-4e5e-9982-efa459aa9dca,1995-09-04,,999-26-2678,S99936070,X68118512X,Mr.,Cristobal567,Parra592,,,,white,hispanic,M,Puebla  Puebla  MX,356 Parisian Mill Apt 14,Beverly,Massachusetts,Essex County,,42.57934343407418,-70.81856210134465,567098.64,3421.3599999999997
e2885dfa-4d69-4ec3-b2a1-f3713356637f,1979-03-26,,999-33-6709,S99996306,X48100866X,Mrs.,Noel608,Greenholt190,,Grady603,M,asian,nonhispanic,F,Beijing  Beijing Municipality  CN,569 Larson Arcade,Weymouth,Massachusetts,Norfolk County,,42.18656036461597,-70.98870800523679,38180.48,1383.1999999999998
202b3372-a1d4-42bd-b4b7-b712bd24dc98,1961-11-12,,999-88-1742,S99963568,X8639475X,Ms.,Fay398,Schuster709,,,S,white,nonhispanic,F,Boston  Massachusetts  US,531 Streich Brook Suite 47,Winchester,Massachusetts,Middlesex County,1890.0,42.437608811834295,-71.18861444701469,1287395.16,8873.55
0447625b-b860-483c-9f30-17ed375b1493,1961-03-14,,999-63-3313,S99912129,X84209676X,Mrs.,Marcelle381,Crooks415,,Fahey393,M,white,nonhispanic,F,Spencer  Massachusetts  US,846 White View,Gardner,Massachusetts,Worcester County,,42.58501974537671,-71.9736070544949,704391.1,6057.679999999999
fa7dfb15-98af-4a78-8c9c-228dacf90153,1958-05-20,,999-58-8773,S99965069,X41095772X,Mr.,Weldon459,McGlynn426,,,M,white,nonhispanic,M,Gloucester  Massachusetts  US,472 Langworth Vista,Newton,Massachusetts,Middlesex County,2460.0,42.295456544728026,-71.17530267013483,1295801.2,6263.48
c8c1bcb3-f787-4d53-9e3f-8fc59740daa3,2017-08-18,,999-99-4105,,,,Leo278,Senger904,,,,asian,nonhispanic,F,Norton  Massachusetts  US,168 Ortiz Viaduct,Maynard,Massachusetts,Middlesex County,,42.447234911619475,-71.48035357082276,61200.0,1291.6
a694ecfc-e39e-46dc-876e-029b32ba0135,2006-08-15,,999-31-6511,,,,Teisha100,Lockman863,,,,white,nonhispanic,F,Worcester  Massachusetts  US,475 Wolf Hollow Suite 53,Chicopee,Massachusetts,Hampden County,1020.0,42.1484557774119,-72.5498374009455,359052.7,4432.2
076688b0-f0d5-4c45-8bc6-b206684fa9ac,1959-04-24,,999-81-5413,S99922421,X12417642X,Ms.,Manie910,Torp761,,,S,white,nonhispanic,F,Methuen  Massachusetts  US,359 Powlowski Parade,South Hadley,Massachusetts,Hampshire County,,42.222849492012,-72.61427821158982,1289022.37,15285.649999999998
92b4bd25-f752-49fe-b248-a3e4b0e89d2a,1918-02-16,1988-09-20,999-57-9074,S99951461,X32692852X,Mr.,Armand155,Grady603,,,M,white,nonhispanic,M,Easthampton  Massachusetts  US,687 Heidenreich Loaf,North Brookfield,Massachusetts,Worcester County,1535.0,42.269957254858014,-72.0361680820881,1681224.24,9775.49
1324aa93-d950-4796-b3f7-e1ab68c6505f,2015-01-03,,999-32-8525,,,,Cortez851,Goodwin327,,,,white,nonhispanic,M,Nantucket  Massachusetts  US,214 Hane Course Unit 68,Westford,Massachusetts,Middlesex County,,42.62875984095006,-71.40963275643487,110983.92,1857.4
